,"NUCES, KHI",,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,Spring 2021,,,,,,,,,,,,,,,
CS5031 - Applied Computer Vision     Section:MCS-2A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Dr. MUHAMMAD SARIM,Registered Students:,27,Received Feedbacks:,18,,,,,,,,,,,,,,
"4=Strongly Agree, 3=Agree,  2=Uncertain, 1=Dissatisfied, 0=Strongly Disagree      Rating Formula: Sum(Q.Wgt x Avg) / Sum(Q.Wgt)",,,,,,,,,,,,,,,,,,,
,CGPA Range:,, 3.00 - 4.00,,,,, 2.00 - 2.99,,,,, 0.00 - 1.99,,,,,,
Question,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,    4    3     2    1    0   ,,,,,Wt.,Avg.,Prod
Course Content and organization,,,,,,,,,,,,,,,,,,,
1 The course objective was clear,,4,9,1,1,0,2,1,0,0,0,0,0,0,0,0,0,3.17,0
2 The course workload was manageable,,6,8,1,0,0,2,1,0,0,0,0,0,0,0,0,1,3.39,3.39
"3 The course was well organized ( e.g. timely access to 
materials, notification of changes, etc.)",,4,9,1,1,0,3,0,0,0,0,0,0,0,0,0,1,3.22,3.22
Teacher Evaluation,,,,,,,,,,,,,,,,,,,
4 The instructor is prepared for each class,,5,9,1,0,0,2,1,0,0,0,0,0,0,0,0,1,3.33,3.33
5 The instructor demonstrates knowledge of the ,,6,8,1,0,0,3,0,0,0,0,0,0,0,0,0,1,3.44,3.44
,subject,,,,,,,,,,,,,,,,,,
6 The instructor has completed the whole course,,5,9,1,0,0,2,1,0,0,0,0,0,0,0,0,1,3.33,3.33
7 The instructor provides additional material apart from ,,5,7,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3.28,0
,the textbook,,,,,,,,,,,,,,,,,,
8 The instructor communicates the subject matter ,,5,8,1,1,0,3,0,0,0,0,0,0,0,0,0,1,3.28,3.28
,effectively,,,,,,,,,,,,,,,,,,
"9 The instructor shows respect towards students and 
encourages class participation",,5,10,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3.44,3.44
10,The instructor arrived on time,4,6,3,1,1,2,1,0,0,0,0,0,0,0,0,1,2.89,2.89
11 The instructor lefton time,,4,11,0,0,0,2,1,0,0,0,0,0,0,0,0,1,3.33,3.33
12,The instructor is fair in examination,4,9,2,0,0,3,0,0,0,0,0,0,0,0,0,1,3.28,3.28
13,"The instructor returned the graded scripts etc. in a 
reasonable amount of time",4,7,3,0,1,2,1,0,0,0,0,0,0,0,0,1,3,3
14,"The instructor was available during the specified 
office hours",4,8,2,0,1,2,0,1,0,0,0,0,0,0,0,0,3,0
"15 The subject matter presented in the course has 
increased your knowledge of the subject",,5,8,2,0,0,3,0,0,0,0,0,0,0,0,0,1,3.33,3.33
16 The assignments and exams covered the materials ,,5,9,1,0,0,3,0,0,0,0,0,0,0,0,0,1,3.39,3.39
,presented in the course,,,,,,,,,,,,,,,,,,
17 The course Material is modern and updated,,5,8,2,0,0,3,0,0,0,0,0,0,0,0,0,0,3.33,0
Student Contribution,,,,,,,,,,,,,,,,,,,
18,Did you actively participated in this course,4,10,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3.28,0
19 Did you learn from this course,,4,10,1,0,0,3,0,0,0,0,0,0,0,0,0,1,3.33,3.33
Learning Environment and Teaching methods,,,,,,,,,,,,,,,,,,,
"20 Was this course well structured to achieve the 
learning outcomes (there was a good balance of 
lectures, tutorials, practicals etc.)",,4,7,4,0,0,2,1,0,0,0,0,0,0,0,0,1,3.11,3.11
21 Did the learning and teaching methods encouraged ,,5,10,0,0,0,2,1,0,0,0,0,0,0,0,0,1,3.39,3.39
,participation?,,,,,,,,,,,,,,,,,,
22 Was classroom environment conducive to learning?,,4,10,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3.28,0
23 Were classrooms satisfactory?,,4,10,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3.33,0
Learning Resources,,,,,,,,,,,,,,,,,,,
24,"Recommended reading books etc. were relevant and 
appropriate",5,6,2,1,1,2,0,0,0,1,0,0,0,0,0,0,2.83,0
"25 Provision of learning resources in the library was 
adequate and appropriate (if relevant)",,4,6,3,2,0,2,1,0,0,0,0,0,0,0,0,0,2.94,0
Quality of Delivery,,,,,,,,,,,,,,,,,,,
26,"The course stimulated my interest and thought in the 
subject area",4,8,2,1,0,3,0,0,0,0,0,0,0,0,0,1,3.17,3.17
27 Pace of the course was appropriate,,5,9,1,0,0,2,1,0,0,0,0,0,0,0,0,1,3.33,3.33
Page 1 of 4,,,,,,,,,,,,,,,,,,,
"NUCES, KHI",,,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,Spring 2021,,,,,,,,,,,,,,,
CS5031 - Applied Computer Vision     Section:MCS-2A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
Instructor:,Dr. MUHAMMAD SARIM,Registered Students:,27,Received Feedbacks:,18,,,,,,,,,,,,,,
28 Ideas and concepts were presented clearly,5,9,1,0,0,2,1,0,0,0,0,0,0,0,0,,1,3.33,3.33
Instructor/TA evaluation,,,,,,,,,,,,,,,,,,,
29 I understood the lectures,4,9,1,1,0,3,0,0,0,0,0,0,0,0,0,,0,3.22,0
30 The material was well organized and presented,12,0,0,0,3,3,0,0,0,0,0,0,0,0,0,,1,3.33,3.33
31 The instructor was responsive to student needs and ,6,9,0,0,0,2,1,0,0,0,0,0,0,0,0,,1,3.44,3.44
problems,,,,,,,,,,,,,,,,,,,
32 Had the instructor been regular throughout the ,4,7,4,0,0,2,1,0,0,0,0,0,0,0,0,,1,3.11,3.11
course?,,,,,,,,,,,,,,,,,,,
Tutorial,,,,,,,,,,,,,,,,,,,
33 The material in the tutorials was useful,5,8,2,0,0,2,1,0,0,0,0,0,0,0,0,,0,3.28,0
34 I was happy with the amount of work needed for ,5,9,1,0,0,2,1,0,0,0,0,0,0,0,0,,0,3.33,0
tutorials,,,,,,,,,,,,,,,,,,,
35 The tutor dealt effectively with my problems,6,8,1,0,0,2,1,0,0,0,0,0,0,0,0,,0,3.39,0
,,,,,,,,,,,,,,,Total:,27,72.22,%,
,,,,,,,,,,,,Overall Rating: 66.87,,,,,,,
Page 2 of 4,,,,,,,,,,,,,,,,,,,
"NUCES, KHI",,,,,,,,,,,,,,,,,,,
Student Course Evaluation Analysis Report,,,,Spring 2021,,,,,,,,,,,,,,,
CS5031 - Applied Computer Vision     Section:MCS-2A,,,,Date: 28-Nov-22,,,,,,,,,,,,,,,
